title,label
시간외 증시 NPC우 하이골드3호 상한가 근접 B 아이디피,1
시간외 증시 크라운제과우 윈텍 위즈코프 시간외 상한가 B,1
한국거래소 거래 부진 삼양홀딩스 우선주 등 내년 단일가 매매로 JW중외제,0
투자포인트 삼양홀딩스우 대유플러스 현대건설 LG상사 250일 신고가 주,1
B 7 29% 상승폭 확대,1
B주가 2일 0 19%변동,0
B 20일 0 00%변동폭 보여,0
주가 급등 가스 대란 우려 급증,-1
특징주 美천연가스 광구 보유 에너지 공급 대란에 주가는,1
용호상박 이스타코,0
주가 15%↑ 천연가스 상승 지난해 호실적 영향,1
흥구석유 모두 가파른 상승세 특히 4% 상승,1
주가 장중 급등 미국 천연가스 광구 보유 부각,1
주가 강세 보여 지난해 실적 발표,1
유도훈 감독의 가스공사 첫 시즌 6강 PO 진출,1
허웅 앞세운 디비 6강 향한 귀중한 1승,0
프로농구 와 서브 스폰서 계약,0
글라스 코마글로벌 흡수합병 결정,1
지난해 건설 사망자 17명 건설 극동건설 삼부토건 2명씩,-1
건설‧극동건설‧삼부토건 지난해 4분기 건설 사망사고 최다,-1
국민연금 주식 0 09% 매수,0
尹 주한 독일대사 접견 북핵 협력 등 논의,1
현장영상 배현진 윤심 의 출마 본인 결단 없이는 누구도 선거 나가라 못,0
오너 3세 김동한 상무 부상 젊은 리더십으로 제품 비중 늘릴,0
인사이트와 희귀암 치료제 2종 국내 독점 라이센스 계약,0
희귀암 치료제 페미가티닙 타파시타맙 독점 계약,0
보령 등 30대 젊은 경영인 전면에,0
尹 당선인 주한 독일 대사와 면담 양국 협력 논의,1
당뇨복합제 테넬리아엠 제네릭 의약품 허가 잇달아,0
크린텍 2022년 1분기부터 시작 되는 실적 턴어라운드,0
ESG 경영 우리가 앞장선다,0
재건축 규제 완화 기대에 난리 난 중소형 건설株 실적도 좋아질까,1
3거래일 연속 주가 강세 무슨 이슈 있나,1
주가 강세 새정부 주택 정책 기대감↑,1
특징주 동신건설 주가 껑충 민주당 원내대표 선거 영향,1
주가 2%↑ 이재명 낙선 인사 중 숨진 당원 조문,1
특징주 윤석열 부산 현안 적극 해결 부산 중견 건설사 서울대,0
