title,label
물동량 세계 6위 판토스 LX그룹 캐시카우 로,0
한국유리공업 5천925억원에 인수 소재사업 확장 종합,1
특징주 EU 결국 러시아 석탄 금수 주가 영향 받나,0
특징주 한국유리공업 인수에 3%대 강세,1
LX그룹 전무 승진 구형모 경영승계 시점 고민,-1
LX 출범 2년차 구본준號 M&A 시동 NEXT 사업다각화,1
뉴투분석 홀로서기 2년차 LX그룹 구본준號 몸집 불리기 급물살,0
에너지 팜사업 실적 호조 전망,1
LX하우시스 그룹 기대 부응할까,1
디지털 투자 늘려달라 인도네이사 주정부 러브콜 보내,1
곰표 맥주 직접 만드나 주류 아이스크림 등 42개 신사업 내세운,0
보통주 1주당 2500원 현금 배당,1
식음료업계 코로나 장기화 속 주총 키워드는 미래 먹거리,0
주총 안건에 사업목적 42개 추가 해태제과 SPC삼립도 신사업 드라,0
특별 세무조사 받은 내부거래 도마 오르나,-1
국내 밀가루 사료 값 폭등 조짐 러시아발 식량대란 현실화할까,0
밀가루 회사가 의약품 진출 너도나도 사업목적 추가,1
꺾일 줄 알았는데 우크라 사태에 밀가루값 요동 하반기 또 오르나,-1
작년 영업익 249억원 전년比 9% ↑,1
작년 연간 연결 영업익 249억 전년비 8 5%↑,1
반가사유상 굽어진 손 발가락 비밀,0
178년 만에 고향으로 제주 찾은 세한도,0
운문댐 물 울산 공급 청신호 반구대암각화 보존 물꼬 터,1
여행honey 南國의 창 월출산,0
178년 만에 고향으로 제주 찾은 세한도,0
세한도 감상하는 관람객,0
구례교육청 전문적학습공동체 구례 7 와 20보물 학교문화유산교육,0
삼국유사 세계기록유산 아태 목록 등재 도전,0
포항 역사박물관 비공개 추진 속 빈 강정,1
레드힐 오파가닙 코로나19 사망률 감소 효과 기대,-1
유진證 카카오게임즈 오딘 대만 안착 성공 영업익 개선 전망,1
실적은 오르는데 증권사도 갸우뚱 하는 삼성전자 주가,0
유진투자선물 해외선물 수수료 할인 이벤트 진행,1
광림 쌍용차 인수자금 4500억원 KB증권 유진증권 통해 확보,0
펄어비스 2분기부터 신작 모멘텀 검사M 블랙클로버M 붉은사막 주목 유진,1
해외주식부터 가상자산까지 증권사 신규 서비스 봇물,0
유진證 삼강엠앤티 1Q 턴어라운드 전망 2년치 일감도 확보,0
부고 민병돈 WM사업본부장 씨 모친상,0
유진투자 삼성전자 기술력 미래에 물음표 목표가 8만8천원,1
브릭메이트 데이터 AI바우처 지원사업 선정,1
CB 전환가액 2125원 하향 조정,-1
KH필룩스와 금호HT 쌍용차 인수전에 뛰어드나,0
블록체인 시스템반도체로 사업 확장한다,1
시가하락에 사모 전환사채 가액 2187원으로 하향,-1
브릭메이트 올 들어 22억 계약 수주 수주 증가세 뚜렷,1
전환사채 전환가액 2180원으로 하향 주목 e공시,-1
내달 29일 정기주주총회,0
주가 상승 블록체인 사업 안착 신호,0
브랜드평판 철강 상장기업 순위 1위 포스코 2위 현대제철 3위,1
코일철근 국내 첫 전자상거래 판매,0
코일철근 디코일 국내 최초로 온라인 판매,1
코일철근 국내 최초로 온라인 판매,1
현대제철 철근값에 전기료 인상분 첫 반영,0
코일철근 디코일 국내 최초 전자상거래로 판매,1
더 이상 노동자 죽이지 마라,-1
포스코 가동률 100% 육박 현대제철 은 80%대 머물러,1
1Q 실적 양호 2Q 가격 인상이 관건 현대차,1
근로자 생명 앗아간 규탄한다,-1
유가증권시장 공시 평화산업 계룡건설산업 등,0
GS글로벌 지에스이앤알과 661억원 규모 공급 계약 체결,1
Real Estate 아라오토몰 아라뱃길 경인항 인근 자동차매매단,0
연봉공개 정택근 대표 연봉 6억5000만원,0
＜생생코스피＞ 자회사에 326 4억 규모 채무보증 결정,0
3Q 영업이익 57억5400만원,1
14일 오후 공시 영업이익 145억5700만원 189 9% 증가 등,1
4Q 연결실적 적자전환,-1
LH 단지분야 시공책임형 CM 2건 누구 품에,0
밀양 삼문동 가로주택정비사업 수주,1
아유경제_가로주택정비 삼문동 가로주택정비 시공자에,0
주가 10%↑ 지난해 매출액 3567억,1
실적점검 21 4Q 영업이익 122억원 PER 6 2배,1
서울수서역세권 공사계약기간 11월8일까지로 정정,0
용호상박,0
건축 건설 수혜주 성건설 서희건설 KCC건설 상승 주택공급 확,1
부산 협진신태양 소규모 재건축 수주,1
가정동 498번지 일원 가로주택정비사업 수주,1
골든베이CC 인수에 숨은 손 94년생 대주주도 주목 시그널,1
실적 잔치 증권사 평균 연봉 2억원 시대 열렸다,0
이종성 사내이사 신규 선임,0
증권사 직원 연봉 2억 시대 중소형사 약진,0
증권사 평균 연봉 2억 진입 BNK 부국 한양 메리츠 상위권,0
더벨 하우스 분석 박현철의 순이익 또 신기록 배당도 최대,1
부국證 이사회 개편으로 사업 다각화 기대,1
대주주 지분변동 사실 보고의무 위반으로 과태료 제재,-1
경북 강원 산불 피해복구 성금 5000만원 전달,-1
더벨 thebell League Table 신영증권 산뜻한 출발 점유율 첫 1위,1
실적은 오르는데 증권사도 갸우뚱 하는 삼성전자 주가,0
Why 바이오 바이넥스 CDMO 수주 증가로 고성장 가능,1
라파스 수출 성공 여부 관건될 터,1
HK이노엔 장기적 관점에서 관심 필요,1
HK이노엔 케이캡 앞세워 올 매출 이익 고성장 가능,1
큐브엔터 메타버스 코스메틱 엔터 모두 순항,0
다시 6만전자 기록한 삼성전자 증권사 목표주가도 제각각,0
2021 코스피결산 금융업 수익성 개선 증시 호황 증권사 톱,1
더벨 스팩상장 4수 도전 배수진,1
주가 훈풍 석탄발전 상한제 완화 수혜 기대감,1
특징주 이재명 그린벨트 활용 신규 택지 조성 방안에 상승,0
주가 강세 이재명 발언 여파 그린벨트 관련주,1
특징주 인수위 서울 자연녹지지역 아파트 분양 허용 검토 소식에,0
