title,label
첫 브러쉬 타입 무좀치료제 출시,1
봄철 불청객 잡는 제약업계 주력 상품 ⑥ 모가프텐,0
환절기 목이 붓고 아플 땐 인후염 치료제 모가프텐,0
환절기 목 붓고 아플 땐 인후염 치료제 모가프텐,0
타 제약사 대표 역임한 한종현 이재준 과 일동제약서 전문성,0
잇몸관리 끝판왕 잇치 출시 10년만에 점유율 94%,1
일교차 큰 환절기 인후염 치료 모가프텐,0
까스활명수 큐 18년 연속 브랜드파워 1위,1
매출효자 4인방 올해 3천억 회복 견인,1
제약 활명수 124주년 기념판 수익금 기부 外,1
까스활명수 큐 18년째 브랜드파워 1위,1
윤도준 의학상 수상자로 김임 신경정신과의원 원장 선정,1
낮은 매출원가 고수익 구조 2년째 올해 매출 주목,1
활명수로 네팔 물 위생 사업 동참,0
까스활명수 큐 브랜드파워 18년 연속 1위,1
8일 제약바이오 소식 휴젤 메디포스트,0
활명수 700억 광동제약 청심원 500억 돌파,1
가스활명수 큐 한국능률협회컨설팅 선정 18년 연속 브랜드파워,1
제약사이모저모 동아ST 비보존 제약 삼광의료재단 유틸렉스,0
활명수 124주년 기념판 수익금 기부 外,1
라이센스 뷰티 헬스 PICK 헥톤프로젝트 메디톡스코리아外,0
한종현 사장 취임,0
한종현 대표이사 사장 취임,0
라이센스 뷰티 헬스 PICK 메디힐 동아제약 파티온 外,0
한종현 사장 선임 헬스케어 시장 선도,1
2022 주총 한종현 대표 신규 선임,0
다양한 피부고민 후시드 크림으로 한번에,0
2022 주총 125년 헬스케어 로 재도약,1
으슬으슬 가벼운 감기 증상엔 판콜,0
잇치 가글액 출시 잇치 페이스트 의 생약성분 포함,1
잇치 가글액 출시,1
예민한 구강관리엔 3가지 생약성분 잇치,0
후시드 크림 런칭 5개월 만 누적 54만개 판매 달성,0
뉴투분석 윤인호 전무 디더블유피홀딩스 설립해 옥상옥 승계,0
잇치 가글액 출시,1
잇치 가글액 출시,1
잇치 가글액 출시,1
잇치 가글액 출시,1
잇치 가글액 출시 자극적고 순한 사용감,1
먹는 코로나 치료제 2상임상에 정부지원금 확보,1
코로나 치료제 임상 정부 신약개발사업 과제 선정,1
코로나 치료제 정부 과제로 선정,1
코로나19 치료제 후보물질 정부과제 선정,1
코로나 치료 후보물질 정부 신약개발사업 과제 선정,1
정부 코로나19 치료제 선정 소식 주가 강세,1
특징주 코로나19 치료제 정부과제 선정에 상승세,1
코로나19 치료제 후보물질 DW2008S 정부 신약개발사업 과제 선정,1
코로나 치료제 政 지원 과제 선정,1
제 2의 일동제약 될까 정부 지원 받는다 주가는,1
심플렉스 인공지능 기반 면역질환 치료제 개발 협력,1
심플렉스 AI 기반 면역질환 치료제 개발 협력,1
심플렉스 AI 기반 면역질환 치료제 개발 협력,1
심플렉스 AI기술로 면역질환 치료제 개발,1
심플렉스 AI 기반 면역질환 치료제 개발 협력,1
심플렉스 면역질환 치료제 개발 협력,1
심플렉스 AI 기반 면역질환 치료제 개발 협력,1
심플렉스 AI 기반 면역질환 치료제 공동 연구 개발 계약 체결,1
심플렉스와 AI 기반 면역질환 치료제 개발 협력,1
심플렉스 AI 기반 면역질환 치료제 개발 협력,1
코로나 치료제 DW2008S 정부 신약개발사업 과제 선정,1
유준하 한종현 체제 매출 3000억 도전,0
이BIO 종근당 유한양행 차병원 외,0
사실상 윤인호 부사장 시대 개막,0
AI 신약개발 벤처와 면역질환 치료제 연구 맞손,1
코로나 치료제 후보 정부 신약개발사업 과제로,1
공동 대표에 한종현 前 동아ST 대표,0
일동홀딩스 빛난 4월 한미약품 JW중외제약 대웅제약 선전,1
코로나19 치료제 정부 신약개발사업 과제 선정,1
한종현 영입 추진하는 올해 3000억원 매출 복귀할까,1
4세 경영 본격화 윤인호 전무 부사장 승진,0
윤인호 부사장 임명 4세경영 터닦기,0
4세 윤인호 전무 부사장 승진,0
제약업 최장수 4세경영 체제 구축,0
윤인호 전무 부사장 승진 4세 경영 본격화,0
4세 윤인호 전무 부사장 승진 4세 경영 본격화,0
4세 경영 속도 윤인호 전무 부사장 승진,0
4세 윤인호 전무 부사장 승진 최고운영책임자 맡아,1
4세 경영 속도 30대 윤인호 부사장 승진,0
오너 4세 윤인호 전무 부사장 승진,0
잇치 새 TV 광고 공개,0
잇치 새 TV 광고 공개,0
잇치 신규 CF 참지말고 잇치 공개,0
한종현 동아에스티 사장 내달부터 경영 진두지휘,0
판콜 패밀리 재택치료 환자에 인기,1
오너 4세 윤인호 부사장 승진‥22년도 임원 인사 단행,0
오너 4세 윤인호 부사장 승진 정기 임원 인사 단행,0
2022년 정기 임원 승진인사 발표,0
윤인호 COO 부사장 승진 2022년 정기 임원 인사,0
임원 인사,0
,0
활명수 124주년 기념판 판매수익금 대한적십자사 기부,1
한종현 사장 취임,0
한종현 대표이사 사장 취임,0
라이센스 뷰티 헬스 PICK 메디힐 동아제약 파티온 外,0
한종현 사장 선임 헬스케어 시장 선도,1
2022 주총 한종현 대표 신규 선임,0
다양한 피부고민 후시드 크림으로 한번에,0
2022 주총 125년 헬스케어 로 재도약,1
으슬으슬 가벼운 감기 증상엔 판콜,0
엘브이엠씨 계열사 주식 97억원에 추가취득,1
ENVEX 2019 영상 오는 10월 양산 예정인 국내 최초 Bobber 스,1
더벨 매각 타진 KR모터스 오세영 회장 의중 안갯속,-1
실적속보 잠정 KR모터스 연결 2020 1Q 영업이익 3 86억원,1
